fruits,numbers_of_r
pin cherry,2
pineapple,0
pingan,0
pink banana,0
pink satinash fruit,1
pinkglow pineapple,0
pitaya-da-guatemala,0
plantain,0
plum pine fruit,1
plumleaf crab apple,1
plymouth pear,1
pomegranate,1
pond apple,0
ponderosa lemon,1
poro poro,2
prickly juniper berry,4
prunus cortapico,2
purple apple-berry,3
purple-flowered raspberry,5
pyrus glabra,2
quince,0
raisin tree fruit,3
ramontchi,1
red banana passionfruit,2
red currant,3
regel pear,2
rhubarb,2
rimu,1
river cherry,4
roundleaf serviceberry,4
russian olive,1
salak,0
saskatoon,0
savannah cherry,2
scarlet passionfruit,2
sea coconut,0
sea grape,1
seashore mangosteen,1
shangjuan,0
shoebutton ardisia,1
silver buffaloberry,3
sloe,0
small-leaved fuchsia,0
small-leaved tamarind,1
smooth blackberry,2
smooth serviceberry,3
snow raspberry,3
soh-sang,0
sorb,1
sour cherry,3
sour fig,1
southern juniper berry,4
spanish tamarind,1
stinking passionfruit,1
strawberry,3
sudachi,0
sugar plum,1
swartbas,1
syzygium alternifolium,1
syzygium calubcob,0
syzygium incarnatum,1
syzygium mananquil,0
syzygium nervosum,1
taiwan cherry,2
tamaran,1
tamarillo,1
tamarind,1
tangelo,0
tangerine,1
tarocco blood orange,2
terap nasi,1
terengganu cherry,3
texas almond,0
thimbleberry,2
tigger melon,1
toyon,0
trichosanthes beccariana,2
viagra palm fruit,2
wampee,0
water pear,2
watermelon,1
watery rose apple,2
white kwai muk,0
white passionfruit,1
white satinash fruit,1
wild fig,0
wild himalayan cherry,2
wild passionfruit,1
wild strawberry,3
wongi,0
yellow plum,0
yew berry,2
yuzu,0
zig-zag vine fruit,1
ziziphus incurva,1
zumi crabapple,1
